Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Ovarian steroidogenesis,4/51,0.00012276194853078428,0.015345243566348,0,0,17.60017730496454,158.4942334974267,ACOT2;AKR1C3;CYP1A1;ACOT1
KEGG_2021_Human,"Glycine, serine and threonine metabolism",3/40,0.0010476950310726,0.05035794185579,0,0,16.60323209807746,113.9174773737536,DMGDH;BHMT;PHGDH
KEGG_2021_Human,Tryptophan metabolism,3/42,0.0012085906045389,0.05035794185579,0,0,15.750198255352895,105.81456304852416,AADAT;CYP1A1;KYAT3
KEGG_2021_Human,Cysteine and methionine metabolism,3/50,0.0020046761378758,0.0626461293086205,0,0,13.064049133581928,81.15743654844592,BHMT;KYAT3;PHGDH
KEGG_2021_Human,Arginine biosynthesis,2/22,0.0053564969577325,0.1339124239433145,0,0,20.285714285714285,106.08302856731788,GLS2;OTC
KEGG_2021_Human,Biosynthesis of unsaturated fatty acids,2/27,0.0080081065105895,0.1430019019748135,0,0,16.224489795918366,78.32049478663112,ACOT2;ACOT1
KEGG_2021_Human,Fatty acid elongation,2/27,0.0080081065105895,0.1430019019748135,0,0,16.224489795918366,78.32049478663112,ACOT2;ACOT1
KEGG_2021_Human,"Alanine, aspartate and glutamate metabolism",2/37,0.0147110875878218,0.229860743559717,0,0,11.583090379008746,48.87083992538764,GLS2;ABAT
KEGG_2021_Human,Fat digestion and absorption,2/43,0.0195637897091908,0.2703016869370114,0,0,9.885017421602788,38.888398778373954,PLA2G12A;PLPP2
KEGG_2021_Human,D-Glutamine and D-glutamate metabolism,1/5,0.0247535287182936,0.2703016869370114,0,0,50.24242424242424,185.83603697375267,GLS2
KEGG_2021_Human,Ether lipid metabolism,2/49,0.0249911884332231,0.2703016869370114,0,0,8.620495006513243,31.803005852102093,PLA2G12A;PLPP2
KEGG_2021_Human,Cholesterol metabolism,2/50,0.025948961945953,0.2703016869370114,0,0,8.44047619047619,30.82144266223132,LIPC;ANGPTL3
KEGG_2021_Human,Caffeine metabolism,1/6,0.0296309633944118,0.284913109561652,0,0,40.19191919191919,141.432767389918,NAT1
KEGG_2021_Human,Steroid hormone biosynthesis,2/61,0.0374213004237331,0.291778697895569,0,0,6.863023175371843,22.54856700617945,AKR1C3;CYP1A1
KEGG_2021_Human,Arachidonic acid metabolism,2/61,0.0374213004237331,0.291778697895569,0,0,6.863023175371843,22.54856700617945,PLA2G12A;AKR1C3
KEGG_2021_Human,Glycerolipid metabolism,2/61,0.0374213004237331,0.291778697895569,0,0,6.863023175371843,22.54856700617945,LIPC;PLPP2
KEGG_2021_Human,Lysine degradation,2/63,0.0396819029137973,0.291778697895569,0,0,6.637336901973904,21.417757229084128,AADAT;BBOX1
